model_id,hidden_units,accuracy_train,mse_train,accuracy_test,mse_test,accuracy_holdout,mse_holdout
1943,40,0.9968153834342957,0.0023698061704635,0.9845008254051208,0.0122396619990468,0.9854880571365356,0.0113347200676798
8314,30,0.9966250658035278,0.002614120952785,0.9838650226593018,0.0127703081816434,0.98499995470047,0.0115438969805836
1581,40,0.9962023496627808,0.0027181664481759,0.984024167060852,0.0127391489222645,0.9844106435775756,0.0121003407984972
4331,30,0.996196448802948,0.0028743853326886,0.9843221306800842,0.012188509106636,0.9862917065620422,0.0103215258568525
3989,30,0.9962440729141236,0.0027616440784186,0.9843180775642396,0.0123114725574851,0.9860535860061646,0.0108516188338398
1527,20,0.9951249957084656,0.003689048346132,0.982778549194336,0.0132722957059741,0.983363151550293,0.0126846358180046
2337,30,0.9964882135391236,0.002581447828561,0.9842510223388672,0.0123790772631764,0.9855834245681764,0.0110383164137601
8301,40,0.996446430683136,0.0026980002876371,0.9838812351226808,0.0126745654270052,0.9848452806472778,0.0118908612057566
9466,40,0.9963988065719604,0.0026958035305142,0.984324276447296,0.0123682701960206,0.9852380752563475,0.0112369572743773
8667,40,0.9965060353279114,0.0027191822882741,0.9843932390213012,0.0121573405340313,0.9860059022903442,0.0108329048380255
8477,20,0.9960060119628906,0.0033139863517135,0.9819998741149902,0.0138975791633129,0.9826785922050476,0.0136177698150277
1648,20,0.9957082867622375,0.0031878545414656,0.9835935831069946,0.012811561115086,0.9838272929191588,0.0121541591361165
5868,30,0.996821403503418,0.0025348574854433,0.9842846393585204,0.0122897997498512,0.9855713844299316,0.0114454263821244
7371,40,0.9974404573440552,0.0019472122658044,0.9839404225349426,0.0129437716677784,0.9863392114639282,0.0111776338890194
8352,30,0.9964226484298706,0.0026666077319532,0.9831330180168152,0.0132871782407164,0.9852619171142578,0.0115140788257122
7051,20,0.9956547021865844,0.0037824315950274,0.9820169806480408,0.0137634240090847,0.9826250076293944,0.0134433396160602
5937,20,0.99635112285614,0.0030369949527084,0.9827148914337158,0.0134024117141962,0.983452320098877,0.0124436803162097
4582,20,0.99615478515625,0.0030087505001574,0.982509970664978,0.0138804866001009,0.9848273992538452,0.0118366340175271
3000,30,0.9965654611587524,0.0026173733640462,0.9833554625511168,0.0132469581440091,0.9845595359802246,0.0121573405340313
8131,30,0.9962679147720336,0.0030506504699587,0.9834049940109252,0.0131035931408405,0.9852083325386048,0.0117395240813493
7717,30,0.9961488842964172,0.0030610403046011,0.9840754270553588,0.0125807747244834,0.9841844439506532,0.0125540196895599
9295,20,0.9967142939567566,0.0027559362351894,0.9831734299659728,0.0132533637806773,0.9848988652229308,0.0122104072943329
2984,20,0.9949703216552734,0.0039312513545155,0.9828277230262756,0.0132904592901468,0.9832440614700316,0.0124958148226141
3284,40,0.9960356950759888,0.0030307762790471,0.9836533069610596,0.0127626042813062,0.9837678074836732,0.0123187294229865
9757,30,0.996529757976532,0.0027825946453958,0.9821834564208984,0.0140441684052348,0.9834226369857788,0.0132631743326783
7504,20,0.9956132173538208,0.0034487387165427,0.9829045534133912,0.0131285646930336,0.9838274121284484,0.0120828757062554
8876,20,0.9950774312019348,0.0037982165813446,0.9821048974990844,0.0137265119701623,0.9835416674613952,0.0125644449144601
4423,20,0.9963868856430054,0.0028563106898218,0.9823035597801208,0.0140002314001321,0.983130931854248,0.0130147179588675
4567,30,0.9960595369338988,0.0029562527779489,0.984071969985962,0.0123033244162797,0.985357105731964,0.0113294450566172
4086,40,0.9963453412055968,0.0027876917738467,0.984477698802948,0.0122124273329973,0.9841190576553344,0.0118627250194549
2174,20,0.9962322115898132,0.0030578612349927,0.9829021096229552,0.0132521679624915,0.9848273992538452,0.011902873404324
2045,30,0.9960774183273317,0.0030169570818543,0.9838919639587402,0.012628236785531,0.9845119714736938,0.011828739196062
969,40,0.9959226846694946,0.0027734343893826,0.985353410243988,0.0113549698144197,0.9855654835700988,0.0110064558684825
1863,40,0.997327446937561,0.0021018921397626,0.9847022891044616,0.0123126301914453,0.98630952835083,0.0109757594764232
6864,30,0.9965832829475404,0.0026908798608928,0.9836990833282472,0.0128500387072563,0.985357105731964,0.0113348290324211
8599,30,0.9958690404891968,0.0031281351111829,0.9840070605278016,0.0123068038374185,0.9851785898208618,0.0114604253321886
777,30,0.9969107508659364,0.002405414590612,0.983823537826538,0.0129293715581297,0.9849642515182496,0.0118696466088294
2792,30,0.9956785440444946,0.0033094540704041,0.9840266108512878,0.0124624157324433,0.9847202301025392,0.0118328090757131
8464,30,0.9967082738876344,0.0025852564722299,0.984769344329834,0.0120278904214501,0.9868749380111694,0.0103318551555275
5569,20,0.9944881200790404,0.0042502549476921,0.9818099141120912,0.0138789871707558,0.9827143549919128,0.0129646742716431
2379,30,0.9960654973983764,0.0030792809557169,0.9832636713981628,0.0130128553137183,0.9848928451538086,0.0116565553471446
9801,30,0.9963988065719604,0.0028506568633019,0.9845930337905884,0.0120385056361556,0.9861369132995604,0.0105209164321422
1386,40,0.9972381591796876,0.002280741231516,0.98417866230011,0.0126993497833609,0.984773814678192,0.0123148616403341
7531,30,0.9968690872192384,0.002452177926898,0.9837276935577391,0.0129213435575366,0.9866191148757936,0.0106639182195067
4355,20,0.9959285855293274,0.0033217614982277,0.9823470711708068,0.0140096517279744,0.9838274121284484,0.0127477860078215
3167,40,0.9968155026435852,0.0024205609224736,0.9832940101623536,0.0134305106475949,0.9861190915107728,0.010984918102622
1495,30,0.9968928098678588,0.0026168802287429,0.984366536140442,0.0122750485315918,0.9844643473625184,0.0115588698536157
4251,20,0.995547652244568,0.0035574245266616,0.9826093912124634,0.0132849281653761,0.9829761385917664,0.0127458544448018
8369,20,0.9965238571166992,0.003155241953209,0.9824356436729432,0.0138125866651535,0.984214186668396,0.0124544110149145
7221,30,0.9969464540481568,0.0026531151961535,0.9831350445747375,0.0134197771549224,0.9847917556762696,0.0117813469842076
8941,40,0.9965356588363647,0.0027611621189862,0.9840386509895324,0.0125535773113369,0.9855238199234008,0.0115026887506246
5224,40,0.9976190328598022,0.0019657844677567,0.9843261241912842,0.0127295423299074,0.9864999651908876,0.0108991945162415
6834,20,0.995434582233429,0.0034408236388117,0.9828529953956604,0.0133788734674453,0.9849048852920532,0.0117588890716433
2394,30,0.9963154792785645,0.0027213941793888,0.9833754301071168,0.0132747394964098,0.9850060343742372,0.0118957459926605
3055,40,0.9962679147720336,0.0029637410771101,0.9837830066680908,0.0127158276736736,0.9850417375564576,0.0116762900725007
668,30,0.9963213801383972,0.0027441442944109,0.984345316886902,0.0123058818280696,0.9858750104904176,0.0108259944245219
8922,30,0.9967142939567566,0.0025908949319273,0.98420649766922,0.0124882021918892,0.9857856631278992,0.011429414153099
4365,20,0.9960178136825562,0.0032092272303998,0.9826641082763672,0.0135847795754671,0.9835655093193054,0.0126245962455868
6184,30,0.9969761967658995,0.0025495311710983,0.983510196208954,0.0129436114802956,0.9851309657096864,0.0114983730018138
5424,40,0.9959047436714172,0.0029030393343418,0.9835686683654784,0.0129505461081862,0.9843155145645142,0.0121242888271808
5186,40,0.9964167475700378,0.0027474388480186,0.984223484992981,0.0123594217002391,0.985880970954895,0.0110096186399459
6653,40,0.9969702959060668,0.0023595832753926,0.9846318364143372,0.0120690008625388,0.9857142567634584,0.0111978435888886
3835,40,0.9961846470832824,0.0028150940779596,0.9841729998588562,0.0125223975628614,0.9857142567634584,0.0113607924431562
6280,40,0.9964106678962708,0.0027327327989041,0.9844523668289183,0.0124103380367159,0.986458420753479,0.0107618011534214
4302,30,0.9975654482841492,0.0021908818744122,0.984308898448944,0.012346644885838,0.9855654835700988,0.0113295940682291
6128,30,0.9962857961654664,0.0028972977306693,0.9840561747550964,0.0124987075105309,0.985202431678772,0.011612837202847
4350,40,0.9957678914070128,0.003166071139276,0.9834998846054076,0.0128932455554604,0.9848511815071106,0.0117028327658772
4784,40,0.9963571429252625,0.0027064543683081,0.9840346574783324,0.0126994028687477,0.9839702844619752,0.0124390814453363
4548,30,0.9967142939567566,0.0024042790755629,0.9847231507301332,0.0122161153703928,0.9852856397628784,0.011408201418817
6154,20,0.996113121509552,0.0033172282855957,0.9829902052879332,0.0132701331749558,0.9843988418579102,0.0120368031784892
4742,20,0.9964166879653932,0.0030231038108468,0.9823323488235474,0.0137389563024044,0.9838155508041382,0.0121807334944605
6015,40,0.996529757976532,0.0026912863831967,0.9838902354240416,0.0128124570474028,0.9857620000839232,0.0115878442302346
4504,20,0.995488166809082,0.0034099703188985,0.9830727577209472,0.0131020490080118,0.9835000038146972,0.0127482824027538
8754,40,0.9956785440444946,0.0029824879020452,0.9844447374343872,0.012310623191297,0.9847262501716614,0.0115630617365241
7324,30,0.99550598859787,0.0033067953772842,0.9844036102294922,0.0121279712766408,0.9859285354614258,0.010854366235435
5641,30,0.9961071014404296,0.0029429842252284,0.9842808842658995,0.012278507463634,0.9850893020629884,0.011331888847053
9865,20,0.9964404106140136,0.0030633935239166,0.98195219039917,0.0141497245058417,0.9827262163162231,0.0133579457178711
6176,20,0.9961488842964172,0.0032438926864415,0.9833869338035583,0.0129185430705547,0.9840536117553712,0.0123728150501847
9594,40,0.996428608894348,0.0026376070454716,0.9842737913131714,0.0124141005799174,0.985053539276123,0.011646288447082
4858,20,0.9956248998641968,0.0035792314447462,0.9829311966896056,0.0131971500813961,0.9845415949821472,0.0114845698699355
7088,20,0.9958928823471068,0.0033089427743107,0.9828135371208192,0.0134345851838588,0.9842321276664734,0.0120064262300729
3854,40,0.9960238337516784,0.0030077430419623,0.9840258955955504,0.012443515472114,0.9848631620407104,0.0114103555679321
3029,20,0.9956607818603516,0.0034983679652214,0.9815051555633544,0.0141306947916746,0.9828095436096193,0.0135108968243002
631,30,0.9962857365608216,0.002940374892205,0.9839446544647216,0.0122460052371025,0.9843452572822572,0.0115530081093311
8623,30,0.9969761967658995,0.0025226611178368,0.9834342002868652,0.0131126679480075,0.9836905598640442,0.0127617781981825
4714,30,0.9970000386238098,0.002509377663955,0.9836403131484984,0.0131386388093233,0.985095202922821,0.0117853060364723
5886,40,0.9968274235725404,0.0023894859477877,0.9842787981033324,0.0125814341008663,0.9847202301025392,0.012060709297657
7975,20,0.9960595369338988,0.0032380330376327,0.9831423759460448,0.0131216598674654,0.9850595593452454,0.0115347504615783
4501,20,0.9962857365608216,0.0031734895892441,0.9829959273338318,0.0133803728967905,0.9849702715873718,0.0120579693466424
6598,20,0.9961250424385072,0.0034190276637673,0.9827650785446168,0.0134092243388295,0.983404815196991,0.0126515086740255
8027,30,0.9969761967658995,0.0024316320195794,0.9848403930664062,0.0121363196521997,0.9848452806472778,0.011224771849811
750,20,0.9962559938430786,0.0030480974819511,0.983001470565796,0.0134834442287683,0.984458327293396,0.0121761159971356
656,20,0.9955118894577026,0.0036508850753307,0.9823936223983764,0.0136813428252935,0.9829643368721008,0.0129679702222347
6269,20,0.9961606860160828,0.0033237352035939,0.9832053184509276,0.0132304038852453,0.9845654368400574,0.0119913117960095
7870,40,0.9966131448745728,0.0025323778390884,0.984178900718689,0.0124844489619135,0.9854286313056946,0.0111152818426489
7466,30,0.9954642057418824,0.0033707842230796,0.9832547903060912,0.0129188569262623,0.98479163646698,0.0115695148706436
7577,40,0.9966071844100952,0.0027697272598743,0.9846840500831604,0.0121924132108688,0.9862440824508668,0.0107470620423555
1052,20,0.9966012239456176,0.0030111821833997,0.9821778535842896,0.0140364924445748,0.9835773706436156,0.012267461977899
542,20,0.9958511590957642,0.0033406536094844,0.9825472831726074,0.013469316996634,0.9831665754318236,0.0128457518294453
1229,20,0.9957917332649232,0.00337959616445,0.9827731251716614,0.0131447492167353,0.9834464192390442,0.0124324867501854
7188,40,0.9965417981147766,0.002655783900991,0.983354926109314,0.0131748123094439,0.9838512539863586,0.0125592006370425
3618,30,0.9970417022705078,0.0026316025760024,0.9833269715309144,0.0130098601803183,0.985630989074707,0.0113828824833035
7,40,0.9960416555404664,0.0030034785158932,0.9842509031295776,0.0125205041840672,0.9848214983940125,0.0110315605998039
4609,20,0.9962321519851683,0.0030897560063749,0.9815828800201416,0.0144368819892406,0.9827381372451782,0.0130953295156359
5793,20,0.9963333010673524,0.0030791568569839,0.9822730422019958,0.0139809157699346,0.982797622680664,0.0130018237978219
480,20,0.9961072206497192,0.0031831441447138,0.9828657507896424,0.0133216064423322,0.9851964712142944,0.011432122439146
617,40,0.9965356588363647,0.002971566049382,0.9836270213127136,0.012900841422379,0.9835893511772156,0.012331617064774
3583,20,0.9952678680419922,0.0037755004595965,0.9826040267944336,0.0133828856050968,0.9833272695541382,0.0124880671501159
682,20,0.9956845045089722,0.0035641654394567,0.9820935130119324,0.0137533238157629,0.9825000762939452,0.0133254127576947
8284,20,0.9961071014404296,0.0031275816727429,0.9825191497802734,0.0137524623423814,0.9840237498283386,0.0125764068216085
5292,30,0.9972381591796876,0.0023517315275967,0.983687162399292,0.0128323780372738,0.9860118627548218,0.0109966583549976
6505,30,0.9963332414627076,0.0030462169088423,0.9845436215400696,0.0118776401504874,0.9857738614082336,0.0107494387775659
2558,20,0.99526184797287,0.0037522793281823,0.9824808835983276,0.0134673854336142,0.9830535650253296,0.0124737918376922
176,30,0.9971309900283812,0.002487672958523,0.9830540418624878,0.0134345898404717,0.9840059280395508,0.0122436834499239
187,30,0.9966785311698914,0.0026375602465122,0.9842771291732788,0.0123174767941236,0.985934555530548,0.0108591755852103
5693,30,0.9961606860160828,0.0030424499418586,0.9839209914207458,0.0126016475260257,0.9857380986213684,0.0110747460275888
8231,40,0.9966071248054504,0.0028390304651111,0.9839265942573548,0.0125466482713818,0.9858155250549316,0.011017145588994
6175,20,0.9958332777023317,0.0034957858733832,0.982634961605072,0.0136363124474883,0.983119010925293,0.0132294483482837
2789,20,0.9954285621643066,0.0038560784887522,0.9826404452323914,0.0132875964045524,0.9838690757751464,0.0123208556324243
8883,30,0.9962083101272584,0.0029790343251079,0.9842691421508788,0.0121096931397914,0.9843095541000366,0.0117691839113831
7038,30,0.9965356588363647,0.0026639241259545,0.982452929019928,0.0138126770034432,0.981845200061798,0.0137930596247315
8805,20,0.9954166412353516,0.0038041146472096,0.9821038246154784,0.0135574471205472,0.9827858209609984,0.0130471959710121
3757,40,0.997381031513214,0.0020733186975121,0.9836764335632324,0.0130915660411119,0.9841191172599792,0.0122687788680195
5297,30,0.9959582090377808,0.0031413899268954,0.9836780428886414,0.0127831911668181,0.9846844673156738,0.0118849175050854
2542,20,0.9962202906608582,0.003136700252071,0.9825481176376344,0.0133427632972598,0.9827499389648438,0.0130998035892844
9159,30,0.99702388048172,0.0024773054756224,0.9835367202758788,0.0129016293212771,0.9843452572822572,0.0118011776357889
8727,30,0.9966608285903932,0.0028412875253707,0.9839125275611876,0.0125306975096464,0.983839213848114,0.0122041795402765
2935,20,0.994994044303894,0.0039991550147533,0.9820166826248168,0.0137112345546484,0.9839524030685424,0.0125391399487853
2011,30,0.9956130981445312,0.0030954054091125,0.98445463180542,0.0121177434921264,0.9854048490524292,0.0110692987218499
4058,30,0.9967857599258424,0.0027646524831652,0.9836813807487488,0.0127492593601346,0.985357105731964,0.0112311923876404
7819,20,0.9960952997207642,0.0032789977267384,0.9826653599739076,0.0135849770158529,0.9845833778381348,0.0122992843389511
8372,20,0.996404767036438,0.0030364140402525,0.9838613867759703,0.0126824444159865,0.9839285612106324,0.012133914977312
9197,40,0.9958095550537108,0.0030601124744862,0.983692228794098,0.01270302105695,0.985065460205078,0.0117653040215373
9323,30,0.9958869218826294,0.0031312929932028,0.9837833642959596,0.0127449026331305,0.9843512773513794,0.0121285524219274
8452,40,0.9960238337516784,0.0026086147408932,0.984100103378296,0.0126575082540512,0.9852856397628784,0.0115152290090918
8455,30,0.9962083101272584,0.0031205778941512,0.9839564561843872,0.0122763291001319,0.9845178723335266,0.0115428427234292
6789,30,0.9966785311698914,0.0024582634214311,0.9842719435691832,0.0123197771608829,0.9852380752563475,0.0114931007847189
7114,20,0.9970297813415528,0.0025781053118407,0.9829834699630736,0.0132743511348962,0.9851845502853394,0.0116274440661072
9202,30,0.9963333010673524,0.0027616480365395,0.9838149547576904,0.012778015807271,0.9842440485954284,0.0121059557422995
5318,40,0.9966726303100586,0.0022781377192586,0.9845354557037354,0.0123180886730551,0.9848750233650208,0.0118117406964302
5754,20,0.9951845407485962,0.0036286183167248,0.9830658435821532,0.0130466679111123,0.9841130971908568,0.0121314190328121
5015,30,0.9960952997207642,0.0031119806226342,0.9836562275886536,0.0126087106764316,0.9839166402816772,0.0116727035492658
9784,40,0.996904730796814,0.0024177706800401,0.9850391745567322,0.0119459992274641,0.9857380986213684,0.0110589461401104
8320,20,0.9955417513847352,0.0035814654547721,0.9820192456245422,0.0138159058988094,0.9836190342903136,0.0123683158308267
8420,30,0.9964227676391602,0.0028511420823633,0.9844405651092528,0.0121261160820722,0.9864345788955688,0.0106049804016947
8205,40,0.9966667294502258,0.0026203461457043,0.9845065474510192,0.0122527340427041,0.985017955303192,0.0113893216475844
153,30,0.9964642524719238,0.0025746314786374,0.9839725494384766,0.0125475376844406,0.9857084155082704,0.0112583450973033
9193,30,0.9961904287338256,0.0031375105027109,0.9844202399253844,0.0121915796771645,0.9853213429450988,0.0111436201259493
1351,20,0.9958750009536744,0.0033860767725855,0.983107328414917,0.0129678845405578,0.984648823738098,0.0120335491374135
8940,30,0.9961667060852052,0.0029131772462278,0.9831304550170898,0.0131362518295645,0.9841071367263794,0.0121668437495827
1078,40,0.9965060353279114,0.0025994784664362,0.9836308360099792,0.0130501268431544,0.9838809967041016,0.0124241579324007
1228,30,0.9965416789054872,0.0029952363111078,0.9843072891235352,0.0122484993189573,0.9857916831970216,0.0111814318224787
